wellName,DEPTH,CGR,CPERM,CPHI,DT,DTSM,Facies,GR,MSFL,NPHI,PEF,Perm_Buckles_UpAs,PHIE,RHOB,RT,SWE,ZONE_NAME,net_gross
A-18-00,1008.31,6.97565,-9999,-9999,76.8901,151.768,-9999,29.2585,0.52938,0.345084,2.920715,-9999,0.2786322,2.3623,0.496877,0.8201141,Dammam,net
A-18-00,1008.46,7.90511,-9999,-9999,75.4843,148.251,-9999,30.3696,0.541086,0.332294,2.937674,-9999,0.2699444,2.38583,0.506743,0.8398095,Dammam,net
A-18-00,1008.61,8.63926,-9999,-9999,75.0054,146.5347,-9999,30.47,0.527866,0.318809,2.933935,-9999,0.2686378,2.39855,0.491196,0.8616689,Dammam,net
A-18-00,1008.76,8.53336,-9999,-9999,75.172,146.3689,-9999,29.6476,0.50813,0.308385,2.915058,-9999,0.2725403,2.39938,0.469145,0.8740014,Dammam,net
A-18-00,1008.91,7.84716,-9999,-9999,75.8756,146.8983,-9999,28.9505,0.490708,0.309372,2.904881,-9999,0.2773272,2.38952,0.451363,0.8766032,Dammam,net
A-18-00,1009.07,7.16265,-9999,-9999,76.7753,148.172,-9999,29.0707,0.469563,0.323038,2.908278,-9999,0.2850555,2.37133,0.429575,0.8720843,Dammam,net
A-18-00,1009.22,7.07027,-9999,-9999,77.2103,151.4578,-9999,29.9644,0.467971,0.335775,2.906908,-9999,0.2890861,2.35244,0.424983,0.8607712,Dammam,net
A-18-00,1009.37,7.42296,74.75506459,-9999,77.0234,153.9651,-9999,29.7793,0.494659,0.334453,2.891111,-9999,0.2901466,2.34249,0.449462,0.8335963,Dammam,net
A-18-00,1009.52,6.635,-9999,0.343855517,76.3602,152.7106,-9999,28.2475,0.503268,0.322298,2.877564,-9999,0.2902994,2.34426,0.45874,0.8280954,Dammam,net
A-18-00,1009.68,4.84684,-9999,-9999,75.7299,150.0669,-9999,27.2849,0.483303,0.313948,2.873815,-9999,0.2962996,2.35104,0.441435,0.8342032,Dammam,net
A-18-00,1009.83,3.77355,-9999,-9999,75.7732,148.4483,-9999,27.8147,0.465421,0.319144,2.873517,-9999,0.2973716,2.35397,0.426685,0.8454088,Dammam,net
A-18-00,1009.98,3.90236,-9999,-9999,76.5061,148.496,-9999,28.6681,0.456815,0.33022,2.874418,-9999,0.3024875,2.34789,0.41972,0.837949,Dammam,net
A-18-00,1010.13,4.17985,-9999,-9999,77.4705,149.7617,-9999,29.3727,0.448838,0.337007,2.880191,-9999,0.2981604,2.33496,0.412096,0.8496864,Dammam,net
A-18-00,1010.29,4.50635,-9999,-9999,78.2699,151.6196,-9999,29.9545,0.446744,0.339157,2.890672,-9999,0.3009712,2.32207,0.410298,0.8419818,Dammam,net
A-18-00,1010.44,4.94424,-9999,-9999,78.857,153.696,-9999,29.7978,0.441555,0.346892,2.897123,-9999,0.3032464,2.3158,0.405208,0.8394058,Dammam,net
A-18-00,1010.59,4.99691,-9999,-9999,79.122,155.4882,-9999,29.5303,0.434114,0.362285,2.894182,-9999,0.3035016,2.31814,0.398266,0.8436363,Dammam,net
A-18-00,1010.74,5.20178,-9999,-9999,79.1666,156.623,-9999,29.9034,0.426288,0.372572,2.880944,-9999,0.3012571,2.32725,0.3919,0.8548875,Dammam,net
A-18-00,1010.9,5.96823,-9999,-9999,79.1396,157.1762,-9999,30.7135,0.414755,0.369222,2.859014,-9999,0.2986955,2.33869,0.381622,0.8744326,Dammam,net
A-18-00,1011.05,6.95465,-9999,-9999,79.058,157.3888,-9999,31.0977,0.410671,0.355828,2.840393,-9999,0.2969457,2.34668,0.378543,0.8858847,Dammam,net
A-18-00,1011.2,7.44243,-9999,-9999,78.929,157.0918,-9999,30.2959,0.419001,0.345341,2.837608,-9999,0.2969473,2.34785,0.387027,0.8786474,Dammam,net
A-18-00,1011.35,7.08847,-9999,-9999,78.8571,156.1365,-9999,29.145,0.430456,0.345226,2.848085,-9999,0.2975022,2.34395,0.398356,0.8644278,Dammam,net
A-18-00,1011.51,6.65643,-9999,-9999,79.1485,155.2498,-9999,28.5884,0.424982,0.350237,2.86586,-9999,0.3007229,2.33865,0.393505,0.8605945,Dammam,net
A-18-00,1011.66,6.7086,-9999,-9999,80.0719,155.6701,-9999,28.2661,0.402321,0.351586,2.886163,-9999,0.3054681,2.33143,0.371908,0.8722121,Dammam,net
A-18-00,1011.81,7.06635,-9999,-9999,81.245,157.7117,-9999,28.5778,0.387368,0.345748,2.903774,-9999,0.3087655,2.32349,0.357627,0.8805359,Dammam,net
A-18-00,1011.96,8.15553,-9999,-9999,81.5906,159.8286,-9999,29.6745,0.39314,0.335614,2.914163,-9999,0.3072816,2.32079,0.362588,0.8783972,Dammam,net
A-18-00,1012.12,9.561,-9999,-9999,80.7104,159.8212,-9999,30.0769,0.412789,0.329643,2.918275,-9999,0.3014612,2.32999,0.381619,0.8724908,Dammam,net
A-18-00,1012.27,10.0862,-9999,-9999,79.5896,157.3024,-9999,29.4172,0.423712,0.332954,2.918127,-9999,0.2949698,2.34867,0.393687,0.8778753,Dammam,net
A-18-00,1012.42,9.58366,-9999,-9999,78.9985,153.9727,-9999,27.8713,0.409513,0.342444,2.909169,-9999,0.2944727,2.36593,0.380332,0.8962138,Dammam,net
A-18-00,1012.57,8.41195,-9999,-9999,78.6617,151.6526,-9999,26.842,0.401882,0.347846,2.887394,-9999,0.2936757,2.37471,0.37249,0.9087119,Dammam,net
A-18-00,1012.72,7.87599,-9999,-9999,77.9463,150.568,-9999,26.9836,0.414848,0.343735,2.865117,-9999,0.2927525,2.37748,0.384379,0.8986149,Dammam,net
